PID,SalePrice
907135180,131745.52140553624
528181040,197373.50269741577
528175010,214446.8537708997
531379030,201901.7449939762
923275090,127042.29573706229
528181070,231412.40361333513
908103280,134890.4554239557
902201110,119908.8857785733
905103070,138474.3301188825
527162180,185069.6974535449
905450020,152234.34099917815
535301150,134003.71712432004
535451170,89032.9167627763
909250060,190706.6915020937
527254020,296876.4212328317
911128180,88485.00701256204
534475170,170597.82976228982
535402180,120668.29195324887
528235180,178677.16045625994
907200130,129315.43286551346
906476030,191445.20745367277
923203090,160735.26937083606
903454020,87420.08980524125
534277060,116306.28497278123
535450220,135477.26467522746
527252090,333571.025220635
535300040,131668.5253846633
533241010,205123.01467725897
903201090,99198.27215099339
921128030,342549.93083210447
535180020,143843.45996189737
527106050,180195.699628648
903233050,133456.0599487519
527105010,176271.52695681716
907196050,219136.19892737735
535375010,77363.42405198132
909455040,188535.62810940188
911370410,270630.60466392746
906223080,219721.13031199767
902204080,86506.12609774576
916225130,253020.34974060915
534400060,162846.53219652604
528178090,341454.2791672813
528235190,185052.3610260778
906477110,147734.85947836397
902106090,151119.82960543293
535327160,121536.83045790523
909129100,121988.06580759978
909281110,230072.86130674093
528188120,161061.87271859305
528150120,322361.56255145813
535125060,251153.48767522647
906380120,179406.79307757606
527451020,120614.77826926328
528429100,266408.2361879869
527132090,240427.857690058
902427045,121810.5375484601
923276260,131761.51923745373
907290140,143104.11366017914
906380100,352001.8132027349
527377110,168287.70937891127
535379110,146700.3464871816
527427230,187780.04147007735
905105010,136786.14393765488
533215080,312079.7503734913
903484080,87437.80744891573
528441080,237942.56987037734
528120100,235115.40223134478
902301060,109996.81432512813
528231050,187536.60859289035
535353190,153442.51972255748
907201280,134422.63401686933
528315080,287421.8929490215
531375060,146732.89521421425
906200230,209713.75939714187
527451550,118997.73210641574
902103090,104560.3675521271
534401190,149238.67446232514
909425085,238285.14133210742
526352080,179060.16819488857
907126050,148635.75628252415
905352180,206186.1045715038
533212060,129725.34140090605
527356050,168211.1079715044
534479240,147438.04941447248
906226130,143338.7593190702
923228210,83635.12295451641
903227080,122872.32277707537
535179120,119318.34553448488
908201100,84647.96899891582
532479050,138096.87797334313
534402060,146541.85341357844
902109160,124439.99478570715
904302030,148109.4163439533
902300215,131572.17707053162
903228070,110882.4717183082
902406070,140873.2470097904
907410020,181668.69435361243
528365090,320685.1312261945
534450110,57311.512565497156
527146135,325283.77406670473
535325340,133623.23845845798
534452060,118065.09989012354
535325090,129634.09635429586
534202130,132480.91882068387
528118020,332216.9622128535
527214050,451504.4815183336
907401060,208097.3427938149
905104210,119329.23366793264
905225080,255554.4072851304
535178060,132159.5079065903
914476450,151183.1073493551
533250050,229974.04916204067
535450070,139753.34133262944
528181060,224770.38051506653
535454100,120897.7177933456
534476080,138927.6029057771
909452114,229007.89235944508
903476090,134695.0576161199
904101040,128264.3511416838
534431030,123110.40656201186
910202060,90114.52598233463
916386090,265408.55936357105
527451460,97501.35336521346
528290120,204245.0415557667
531375090,144541.02055785563
527403040,139601.17241949716
535453020,147640.01632283875
911175360,96725.21771445984
528228545,179372.07622602402
534275100,121198.67258743211
528142040,337880.19897515373
527357110,155651.2478113764
528480170,259615.23339536213
905226030,102473.1079110709
905104110,137054.52647438526
528480070,263056.93205839617
528386040,377725.5057859666
535453100,137571.06363327618
907192030,197483.1977386544
905478030,137256.2618358262
